Transaction Number,Latency (ms),Timestamp
1,169.122452000,2025-01-10 22:24:24
2,115.389988000,2025-01-10 22:24:24
3,154.138831000,2025-01-10 22:24:24
4,165.340851000,2025-01-10 22:24:24
5,141.816198000,2025-01-10 22:24:25
6,139.127759000,2025-01-10 22:24:25
7,206.238038000,2025-01-10 22:24:25
8,147.886302000,2025-01-10 22:24:25
9,167.822388000,2025-01-10 22:24:25
10,145.996350000,2025-01-10 22:24:25
11,126.924435000,2025-01-10 22:24:26
12,127.759383000,2025-01-10 22:24:26
13,157.439297000,2025-01-10 22:24:26
14,152.612924000,2025-01-10 22:24:26
15,146.414648000,2025-01-10 22:24:26
16,143.726766000,2025-01-10 22:24:26
17,128.288665000,2025-01-10 22:24:27
18,168.859718000,2025-01-10 22:24:27
19,143.753843000,2025-01-10 22:24:27
20,176.756478000,2025-01-10 22:24:27
21,154.646451000,2025-01-10 22:24:27
22,147.663122000,2025-01-10 22:24:27
23,145.120618000,2025-01-10 22:24:28
24,167.251571000,2025-01-10 22:24:28
25,155.741058000,2025-01-10 22:24:28
26,134.276193000,2025-01-10 22:24:28
27,149.261514000,2025-01-10 22:24:28
28,141.969277000,2025-01-10 22:24:28
29,152.967643000,2025-01-10 22:24:29
30,132.698016000,2025-01-10 22:24:29
31,148.982821000,2025-01-10 22:24:29
32,163.599158000,2025-01-10 22:24:29
33,160.810817000,2025-01-10 22:24:29
34,155.669874000,2025-01-10 22:24:29
35,168.005803000,2025-01-10 22:24:30
36,191.880351000,2025-01-10 22:24:30
37,166.941353000,2025-01-10 22:24:30
38,174.112658000,2025-01-10 22:24:30
39,164.658284000,2025-01-10 22:24:30
40,164.448426000,2025-01-10 22:24:30
41,185.945918000,2025-01-10 22:24:31
42,177.844595000,2025-01-10 22:24:31
43,189.901320000,2025-01-10 22:24:31
44,177.930573000,2025-01-10 22:24:31
45,147.934043000,2025-01-10 22:24:31
46,147.098244000,2025-01-10 22:24:32
47,170.647847000,2025-01-10 22:24:32
48,158.750146000,2025-01-10 22:24:32
49,156.448669000,2025-01-10 22:24:32
50,136.962846000,2025-01-10 22:24:32
