Batch,StartTime,EndTime,Duration,BatchThroughput,TotalThroughput,PendingTx
0,1744521348.523,1744521349.305,0.782,12.79,0.00,200
1,1744521349.329,1744521350.093,0.765,13.07,0.00,200
2,1744521350.116,1744521351.029,0.913,10.95,0.00,200
3,1744521351.050,1744521351.851,0.801,12.48,0.00,200
4,1744521351.874,1744521352.696,0.821,12.18,0.00,200
5,1744521352.718,1744521353.529,0.810,12.35,0.00,200
6,1744521353.551,1744521354.391,0.840,11.90,0.00,200
7,1744521354.415,1744521355.325,0.910,10.99,0.00,200
8,1744521355.348,1744521356.254,0.906,11.04,0.00,200
9,1744521356.276,1744521357.141,0.865,11.56,0.00,200
10,1744521357.165,1744521358.024,0.859,11.64,0.00,200
11,1744521358.049,1744521358.820,0.771,12.97,0.00,200
12,1744521358.844,1744521359.630,0.786,12.72,0.00,200
13,1744521359.653,1744521360.588,0.935,10.70,0.00,200
14,1744521360.612,1744521361.479,0.867,11.53,0.00,200
15,1744521361.502,1744521362.407,0.905,11.05,0.00,200
16,1744521362.433,1744521363.217,0.784,12.76,0.00,200
17,1744521363.243,1744521364.066,0.823,12.15,0.00,200
18,1744521364.092,1744521364.956,0.864,11.57,0.00,200
19,1744521364.981,1744521365.821,0.840,11.90,0.00,200
