time,transactions,cpu_usage,memory_usage
2,10,7.46,6.2,1309
3,10,7.09,3.2,1329
5,10,7.04,6.5,1311
7,10,5.49,12.9,1323
8,10,7.24,9.4,1314
10,10,7.24,6.5,1311
12,10,7.14,3.2,1324
13,10,7.19,3.3,1318
15,10,7.46,10,1331
16,10,7.24,0,1322
Total transactions: 100
Total duration: 16 seconds
Average throughput: 6.25 TPS
CPU usage difference: -14.2%
Memory usage difference: -6 MB
time,transactions,batch_throughput,cpu_usage,memory_usage
2,10,7.19,3.2,1390
3,10,6.53,24.2,1402
5,10,6.94,6.5,1401
7,10,6.75,36.7,1421
8,10,7.35,3.2,1398
10,10,6.99,3.3,1412
11,10,7.24,34.4,1405
13,10,6.17,6.5,1407
15,10,7.51,12.9,1421
16,10,7.09,18.8,1421
18,10,7.24,3.2,1434
20,10,6.89,6.7,1405
21,10,7.40,9.7,1408
23,10,6.32,12.1,1440
24,10,7.46,3.2,1436
26,10,6.62,6.2,1456
28,10,7.35,30.3,1460
29,10,6.32,9.4,1453
31,10,7.29,6.2,1434
33,10,6.66,9.1,1442
Total transactions: 200
Total duration: 33 seconds
Average throughput: 6.06 TPS
CPU usage difference: 0%
Memory usage difference: 67 MB
